name,date_of_execution,duration_of_execution,seed,number_of_modules,number_of_max_qubits_per_module,number_of_max_gates_per_module,reduced_distance,maximum_allowed_weight,number_of_qubits_x_[row],number_of_qubits_y_[column],heuristic,qubit_modules,qubit_mapping,depth,total_qubits,gate_count,swap_count,t_count,qiskit_optimization_level,qiskit_depth,qiskit_total_qubits,qiskit_gate_count,qiskit_swap_count,qiskit_t_count
result50,2024-11-06 16:57:49,15.108051061630247,2301,4,4,6,,5,100,100,False,"{0: [0, 1, 2], 1: [3, 4], 2: [0, 3], 3: [4, 5, 6]}","[{0: [4949, 5049, 5048], 1: [4950, 5050]}, {2: [4949, 4950], 3: [5050, 5150, 5049]}]",5,6,12,0,5,1,5,7,12,0,5
result51,2024-11-06 16:58:07,19.038057327270508,7087,4,4,6,,5,100,100,False,"{0: [0, 1], 1: [1, 2, 3], 2: [3, 6, 7], 3: [0, 4, 5]}","[{0: [4949, 4950]}, {1: [4950, 4850, 5050], 3: [4949, 4849, 4848]}, {2: [5050, 4950, 4850]}]",8,6,18,0,2,1,7,8,18,0,2
result52,2024-11-06 16:58:28,16.65044856071472,487,4,4,6,,5,100,100,False,"{0: [0, 1, 2, 3], 1: [4, 5], 2: [0, 5, 6, 7], 3: [6, 8]}","[{0: [4950, 4951, 4851, 4850], 1: [5049, 5050]}, {2: [4850, 5050, 4950, 5049]}, {3: [4950, 4850]}]",10,6,16,1,4,1,5,9,16,0,4
result53,2024-11-06 16:58:47,15.46120262145996,5540,4,4,6,,5,100,100,False,"{0: [0, 1, 2], 1: [3, 4], 2: [0, 5, 6], 3: [1, 4]}","[{0: [4949, 5049, 5048], 1: [4950, 5050]}, {3: [5049, 5050], 2: [4949, 4948, 5048]}]",5,6,15,0,4,1,5,7,15,0,4
result54,2024-11-06 16:59:04,15.683136224746704,512,4,4,6,,5,100,100,False,"{0: [0, 1], 1: [0, 4, 5], 2: [2, 3], 3: [1, 3]}","[{0: [4949, 5049], 2: [4950, 5050]}, {3: [5049, 5050], 1: [4949, 4948, 4950]}]",8,5,16,0,1,1,5,6,16,0,1
result55,2024-11-06 16:59:22,22.761019945144653,4922,4,4,6,,5,100,100,False,"{0: [0, 1, 2, 3], 1: [4, 5, 6], 2: [1, 5, 10], 3: [2, 7, 8, 9]}","[{1: [5050, 5049, 5048], 0: [4849, 4949, 4950, 4951]}, {2: [4949, 5049, 5048], 3: [4950, 4850, 5150, 5050]}]",8,9,21,0,4,1,6,11,21,0,4
result56,2024-11-06 16:59:47,17.9165301322937,9061,4,4,6,,5,100,100,False,"{0: [0, 1, 2, 3], 1: [0, 7, 8], 2: [4, 5, 6], 3: [2, 5, 9]}","[{2: [4850, 4849, 4848], 0: [5048, 5049, 4949, 4948]}, {1: [5048, 5047, 5148], 3: [4950, 4849, 4850]}]",8,10,18,1,2,1,7,10,18,0,2
result57,2024-11-06 17:00:07,15.750710725784302,9471,4,4,6,,5,100,100,False,"{0: [0, 1, 2], 1: [3, 4, 5, 6], 2: [2, 7], 3: [0, 4, 8]}","[{1: [4951, 4950, 4850, 4949], 0: [5050, 5051, 5049]}, {2: [5049, 5149], 3: [5050, 4950, 4951]}]",7,8,15,0,3,1,5,9,15,0,3
result58,2024-11-06 17:00:25,13.933207511901855,996,4,4,6,,5,100,100,False,"{0: [0, 1, 2], 1: [3, 4, 5], 2: [6, 7, 8], 3: [2, 4, 8, 9]}","[{0: [4848, 4849, 4949], 1: [4850, 4950, 5050], 2: [4948, 5048, 5049]}, {3: [4949, 4950, 5050, 4850]}]",7,9,18,1,0,1,5,10,18,0,0
result59,2024-11-06 17:00:41,16.044870138168335,5973,4,4,6,,5,100,100,False,"{0: [0, 1, 2], 1: [3, 4], 2: [0, 5], 3: [2, 4, 6, 7]}","[{0: [5048, 5049, 4949], 1: [4850, 4849]}, {2: [5048, 4948], 3: [4949, 4749, 4849, 4748]}]",7,8,20,1,0,1,7,8,20,0,0
result60,2024-11-06 17:00:59,18.997753858566284,7364,4,4,6,,5,100,100,False,"{0: [0, 1, 2, 3], 1: [4, 5, 6], 2: [6, 7, 8, 9], 3: [3, 5]}","[{1: [4951, 5051, 5050], 0: [5049, 5149, 5150, 5151]}, {3: [5151, 5051], 2: [5050, 5049, 4949, 4948]}]",7,9,17,0,6,1,6,10,17,0,6
result61,2024-11-06 17:01:21,15.610919713974,6459,4,4,6,,5,100,100,False,"{0: [0, 1, 2], 1: [3, 4, 5, 6], 2: [4, 7], 3: [0, 3]}","[{1: [5048, 4948, 4848, 4949], 0: [5049, 5050, 4950]}, {2: [4948, 4949], 3: [5049, 5048]}]",9,7,19,0,6,1,9,8,19,0,6
